,year_id,seasongame,elo_diff,game_location,opp_id,WL
116282,2012,1,-37.79549999999995,0,0,0
116306,2012,2,147.38099999999986,1,1,0
116313,2012,3,126.58770000000004,0,2,1
116344,2012,4,106.0735000000002,0,3,1
116383,2012,5,-24.520899999999983,0,4,1
116394,2012,6,-16.231899999999996,1,4,0
116433,2012,7,30.741500000000087,0,5,1
116467,2012,8,25.248199999999997,1,6,0
116476,2012,9,131.91830000000004,0,7,1
116516,2012,10,24.576699999999846,0,8,1
116546,2012,11,77.72389999999996,0,9,1
116583,2012,12,125.35670000000005,1,2,1
116604,2012,13,196.5929000000001,0,10,1
116629,2012,14,108.99539999999979,1,11,0
116652,2012,15,-37.481199999999944,0,12,1
116705,2012,16,-55.147699999999986,1,13,0
116720,2012,17,-3.601699999999937,1,14,0
116752,2012,18,58.03489999999988,0,15,0
116803,2012,19,87.2944,0,11,1
116851,2012,20,86.92489999999998,1,16,0
116866,2012,21,145.75610000000006,1,17,1
116899,2012,22,277.30690000000004,0,18,1
116944,2012,23,-51.3125,1,4,1
116982,2012,24,115.10549999999989,1,2,0
117004,2012,25,-3.7883999999999105,1,19,0
117045,2012,26,-0.24489999999991596,1,20,1
117065,2012,27,106.58850000000007,1,3,0
117102,2012,28,212.81539999999995,1,21,1
117125,2012,29,47.99770000000012,0,22,1
117173,2012,30,107.54179999999997,0,9,1
117215,2012,31,116.81939999999986,1,9,0
117227,2012,32,40.34740000000011,0,6,1
117255,2012,33,-48.45909999999981,1,12,1
117280,2012,34,-87.40890000000013,1,23,0
117309,2012,35,101.81839999999988,0,17,1
117341,2012,36,192.16609999999991,0,1,1
117375,2012,37,-125.91319999999996,0,13,1
117408,2012,38,245.95389999999998,1,24,0
117438,2012,39,289.6197000000002,1,25,0
117454,2012,40,81.93039999999996,1,17,1
117489,2012,41,65.39049999999997,0,20,1
117520,2012,42,-8.314399999999978,1,8,1
117542,2012,43,218.24979999999982,1,26,1
117569,2012,44,123.01520000000005,0,17,1
117605,2012,45,119.76209999999992,0,2,0
117629,2012,46,112.86919999999986,1,5,0
117644,2012,47,9.564999999999827,1,12,1
117683,2012,48,131.42430000000013,0,6,1
117721,2012,49,67.27639999999997,0,8,0
117751,2012,50,138.26880000000006,1,7,1
117784,2012,51,-75.03909999999996,0,23,0
117818,2012,52,207.33079999999995,0,26,1
117834,2012,53,171.20069999999987,0,7,1
117865,2012,54,239.84429999999998,0,27,1
117881,2012,55,39.75670000000014,1,11,1
117914,2012,56,93.70029999999997,0,5,0
117944,2012,57,61.568300000000136,1,9,0
117973,2012,58,189.58130000000006,1,26,1
118010,2012,59,-80.42419999999993,1,28,1
118031,2012,60,62.423100000000204,0,4,1
118073,2012,61,54.312999999999874,0,12,1
118105,2012,62,-50.032900000000154,0,28,0
118124,2012,63,192.2775999999999,1,7,1
118160,2012,64,-89.31809999999996,1,28,0
118189,2012,65,-92.39250000000015,0,23,1
118251,2012,66,241.45540000000005,1,1,0
118428,2013,1,35.779599999999846,0,12,0
118445,2013,2,91.09709999999995,1,6,0
118462,2013,3,-36.22919999999999,0,11,0
118496,2013,4,100.94689999999991,0,24,1
118553,2013,5,-1.9423000000001593,1,2,0
118564,2013,6,85.45000000000005,0,7,1
118607,2013,7,123.77510000000007,0,1,1
118635,2013,8,-147.17110000000002,0,28,0
118671,2013,9,26.701000000000022,0,9,1
118702,2013,10,41.41380000000004,0,5,1
118730,2013,11,97.85850000000005,0,29,1
118763,2013,12,184.9498000000001,1,1,0
118779,2013,13,-105.31500000000005,1,8,0
118790,2013,14,21.271099999999933,1,12,1
118837,2013,15,12.149599999999964,0,15,0
118875,2013,16,-35.715799999999945,0,4,1
118911,2013,17,150.43690000000015,0,14,0
118930,2013,18,14.57400000000007,1,5,0
118953,2013,19,99.96019999999999,1,26,1
118979,2013,20,-141.1984,1,23,0
